Countries,Winner,Runners-Up,Third,Totaltop3,country,lat,lon,name
Brazil,5,2,2,9,BR,-14.235004,-51.92528,Brazil
Italy,4,2,1,7,IT,41.87194,12.56738,Italy
Germany,4,4,4,12,DE,51.165690999999995,10.451526,Germany
Argentina,2,3,0,5,AR,-38.416097,-63.616671999999994,Argentina
Uruguay,2,0,0,2,UY,-32.522779,-55.765834999999996,Uruguay
Spain,1,0,0,1,ES,40.463667,-3.7492199999999998,Spain
United Kingdom,1,0,0,1,GB,55.378051,-3.435973,United Kingdom
France,1,1,2,4,FR,46.227638,2.213749,France
Netherlands,0,3,1,4,NL,52.132633,5.291266,Netherlands
Hungary,0,2,0,2,HU,47.162494,19.503304,Hungary
Czech Republic,0,2,0,2,CZ,49.817492,15.472961999999999,Czech Republic
Sweden,0,1,2,3,SE,60.128161,18.643501,Sweden
Poland,0,0,2,2,PL,51.919438,19.145135999999997,Poland
United States,0,0,1,1,US,37.09024,-95.712891,United States
Croatia,0,0,1,1,HR,45.1,15.2,Croatia
Austria,0,0,1,1,AT,47.516231,14.550072,Austria
Turkey,0,0,1,1,TR,38.963745,35.243322,Turkey
Chile,0,0,1,1,CL,-35.675146999999996,-71.542969,Chile
Portugal,0,0,1,1,PT,39.399871999999995,-8.224454,Portugal
