Unnamed: 0,Year,Datetime,Stage,Stadium,City,Host Country,latitude,longitude,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,WinningTeam,HomeAwayWin,HalftimeWin,GoalsTotal,GoalsDiff
0,1930,13 Jul 1930 - 15:00,Group 1,Pocitos,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,France,4,1,Mexico, ,4444.0,3,0,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),201,1096,FRA,MEX,France,Home,Home,5,3
1,1930,13 Jul 1930 - 15:00,Group 4,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,USA,3,0,Belgium, ,18346.0,2,0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),201,1090,USA,BEL,USA,Home,Home,3,3
2,1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Yugoslavia,2,1,Brazil, ,24059.0,2,0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),201,1093,YUG,BRA,Yugoslavia,Home,Home,3,1
3,1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Romania,3,1,Peru, ,2549.0,1,0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),201,1098,ROU,PER,Romania,Home,Home,4,2
4,1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,1,0,France, ,23409.0,0,0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),201,1085,ARG,FRA,Argentina,Home,Draw,1,1
5,1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Chile,3,0,Mexico, ,9249.0,1,0,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),201,1095,CHI,MEX,Chile,Home,Home,3,3
6,1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Yugoslavia,4,0,Bolivia, ,18306.0,0,0,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),201,1092,YUG,BOL,Yugoslavia,Home,Draw,4,4
7,1930,17 Jul 1930 - 14:45,Group 4,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,USA,3,0,Paraguay, ,18306.0,2,0,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),201,1097,USA,PAR,USA,Home,Home,3,3
8,1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,1,0,Peru, ,57735.0,0,0,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),201,1099,URU,PER,Uruguay,Home,Draw,1,1
9,1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Chile,1,0,France, ,2000.0,0,0,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),201,1094,CHI,FRA,Chile,Home,Draw,1,1
10,1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,6,3,Mexico, ,42100.0,3,1,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU),201,1086,ARG,MEX,Argentina,Home,Home,9,3
11,1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Brazil,4,0,Bolivia, ,25466.0,1,0,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),201,1091,BRA,BOL,Brazil,Home,Home,4,4
12,1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Paraguay,1,0,Belgium, ,12000.0,1,0,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),201,1089,PAR,BEL,Paraguay,Home,Home,1,1
13,1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,4,0,Romania, ,70022.0,4,0,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL),201,1100,URU,ROU,Uruguay,Home,Home,4,4
